City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
167,naze,JP,70.72,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
173,avera,US,80.26,overcast clouds,33.194,-82.5271,
174,macapa,BR,78.78,broken clouds,0.0389,-51.0664,Atalanta Hotel
185,fairbanks,US,74.25,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
186,banda aceh,ID,79.48,overcast clouds,5.5577,95.3222,Sulthan Hotel International
190,wagar,SD,89.44,scattered clouds,16.1525,36.2032,
199,kalmunai,LK,77.59,overcast clouds,7.4167,81.8167,VS Villa
201,bambous virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
202,iracoubo,GF,77.95,scattered clouds,5.4802,-53.2011,Le Gite D Iracoubo
204,edd,ER,86.99,few clouds,13.9297,41.6925,
205,shimoda,JP,70.16,heavy intensity rain,34.6667,138.95,Shimoda Tokyu Hotel
206,umm lajj,SA,81.1,few clouds,25.0213,37.2685,Moon light Furnished Units
207,osmena,PH,82.45,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
208,meulaboh,ID,74.23,overcast clouds,4.1363,96.1285,Kost Pria
213,vao,NC,71.31,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
215,elizabeth city,US,84.4,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
217,bengkulu,ID,75.33,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
218,monterey,US,89.06,clear sky,36.2505,-121.2516,
221,sao filipe,CV,76.32,overcast clouds,14.8961,-24.4956,Hotel Xaguate
223,guerrero negro,MX,70.97,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
224,puerto escondido,MX,84.99,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
226,komsomolskiy,UZ,80.02,broken clouds,40.4272,71.7189,Ikathouse
227,hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
230,san patricio,US,86.68,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
235,kendari,ID,79.83,scattered clouds,-3.945,122.4989,Hotel Wixel
236,conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
242,santo tomas,PH,85.57,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
243,naranjal,EC,80.53,broken clouds,-2.6667,-79.6167,Media Naranja
247,sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
251,sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
253,neyshabur,IR,79.75,clear sky,36.2133,58.7958,Amiran Hotel
254,harrisonburg,US,84.61,few clouds,38.4496,-78.8689,Hampton Inn Harrisonburg - University
255,daru,PG,77.97,overcast clouds,-9.0763,143.2092,Daru Lodge
258,bangonay,PH,82.98,clear sky,9.3144,125.5539,Great Lake Mainit Resort
268,lompoc,US,74.57,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
270,nauta,PE,74.12,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
275,xianshuigu,CN,78.8,clear sky,38.985,117.3828,Guangchuan Hotel
276,nioro,GM,80.35,scattered clouds,13.35,-15.75,
277,hobyo,SO,77.92,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
278,cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
281,itoman,JP,84.58,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
288,sao jose da coroa grande,BR,76.05,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
292,cajuru,BR,70.77,broken clouds,-21.2753,-47.3042,Hotel Tropical Cajuru
293,bom jardim,BR,73.74,few clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
295,mae hong son,TH,76.32,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
301,caravelas,BR,73.0,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
302,danane,CI,72.14,light rain,7.2596,-8.155,Lmd
303,fort myers beach,US,84.02,overcast clouds,26.452,-81.9481,Lani Kai Island Resort
304,belaya gora,RU,77.02,broken clouds,68.5333,146.4167,
305,atambua,ID,77.04,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
307,veraval,IN,84.09,clear sky,20.9,70.3667,Lords Inn Somnath
314,mandiana,GN,79.02,broken clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
322,labuhan,ID,79.25,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
328,grants pass,US,77.34,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
329,ramgarh,IN,86.05,scattered clouds,23.6333,85.5167,HOTEL TREAT RESIDENCY
330,san-pedro,CI,78.28,overcast clouds,4.7485,-6.6363,Hotel Maria
333,manaus,BR,79.3,few clouds,-3.1019,-60.025,Manaus Hotéis Millennium
335,simplicio mendes,BR,78.12,clear sky,-7.8539,-41.9103,Fidalgo
338,jutai,BR,73.96,overcast clouds,-5.1833,-68.9,
339,college,US,74.59,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
341,kribi,CM,75.97,moderate rain,2.95,9.9167,Les Vagues bleues
342,kunya,NG,86.16,clear sky,12.2233,8.5325,
343,odate,JP,75.24,broken clouds,40.2686,140.5683,Hotel Crown Palais Shuhoku
344,ust-nera,RU,73.94,scattered clouds,64.5667,143.2,Hotel Ust-Nera
345,mazagao,BR,78.85,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
346,merauke,ID,80.4,broken clouds,-8.4667,140.3333,
351,wilmington,US,78.98,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
355,namatanai,PG,84.43,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
356,wuwei,CN,71.17,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
359,amarwara,IN,74.61,scattered clouds,22.3,79.1667,Study
360,hambantota,LK,78.28,broken clouds,6.1241,81.1185,Bungalow 63
362,bugasong,PH,79.3,overcast clouds,11.0439,122.0659,Jam's Family Restaurant and Tourist Inn
365,koungou,YT,78.51,broken clouds,-12.7336,45.2042,Villa Netibor
366,cururupu,BR,75.51,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
370,riohacha,CO,83.7,overcast clouds,11.5444,-72.9072,Hotel Taroa
371,dalbandin,PK,82.04,clear sky,28.8947,64.4101,Sanjrani House
372,japura,ID,75.7,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
373,thayetmyo,MM,82.58,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
374,paithan,IN,77.32,overcast clouds,19.4833,75.3833,Prakash lahase
376,palmas,BR,82.27,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
378,fortuna,US,72.19,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
382,manggar,ID,82.56,broken clouds,-2.8833,108.2667,Guest Hotel
383,alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
385,karratha,AU,72.93,broken clouds,-20.7377,116.8463,ibis Styles Karratha
386,kandrian,PG,82.71,moderate rain,-6.2167,149.55,Kandrian Station
387,misratah,LY,70.32,few clouds,32.3754,15.0925,فندق الماسة
388,camocim,BR,76.86,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
391,darhan,MN,70.77,overcast clouds,49.4867,105.9228,Buudai Hotel
393,manavalakurichi,IN,77.09,overcast clouds,8.1333,77.3,Udaya Boys Hostel
396,balabac,PH,84.15,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
397,maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
398,jalu,LY,73.2,clear sky,29.0331,21.5482,صاحبة الفخامة
403,hue,VN,82.51,few clouds,16.4667,107.6,Saigon Morin Hotel
404,wukari,NG,74.14,overcast clouds,7.85,9.7833,Elimtop
408,yanam,IN,79.79,scattered clouds,16.7333,82.2167,The Regency Hotel
409,buchanan,LR,78.76,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
410,sajanan,TN,75.47,overcast clouds,37.0573,9.2426,Centre de culture du tabac sejenene
411,poso,ID,81.75,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
413,mahibadhoo,MV,83.41,overcast clouds,3.7833,72.9667,Omadhoo Inn
414,panama city,PA,84.06,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
415,catuday,PH,82.2,overcast clouds,16.2923,119.8062,GResort
419,kamsack,CA,86.45,overcast clouds,51.5667,-101.9009,Liquor Store Kamsack & Woodlander Hotel
420,bac lieu,VN,82.87,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
424,lusambo,CD,78.35,overcast clouds,-4.9667,23.45,
425,cimitarra,CO,79.61,broken clouds,6.3142,-73.9497,HOTEL CARARE PLAZA
426,mushie,CD,75.04,scattered clouds,-3.0167,16.9,
427,kihei,US,83.46,few clouds,20.785,-156.4656,Maui Sunset
430,vanimo,PG,83.23,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
432,tatawin,TN,73.92,overcast clouds,32.9297,10.4518,Sangho Privilege Tataouine
433,along,IN,70.63,overcast clouds,28.1667,94.7667,Hotel West
434,padang,ID,77.23,scattered clouds,-0.9492,100.3543,Mercure Padang
435,adoni,IN,77.41,overcast clouds,15.6333,77.2833,Bheemas Regency
440,vilhena,BR,71.82,clear sky,-12.7406,-60.1458,Hotel Mirage
441,jacareacanga,BR,78.84,broken clouds,-6.2222,-57.7528,Casa do Ian😎
445,vung tau,VN,82.49,overcast clouds,10.346,107.0843,Green hotel
450,touros,BR,77.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
455,oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
456,puri,IN,87.39,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
457,porbandar,IN,84.33,clear sky,21.6422,69.6093,Lords Inn Porbandar
458,ewa beach,US,83.98,clear sky,21.3156,-158.0072,Uncle Junior Robert
459,nemuro,JP,70.23,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
461,vila velha,BR,71.55,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
464,yala,TH,75.63,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
467,hithadhoo,MV,82.33,overcast clouds,-0.6,73.0833,Scoop Guest House
470,paita,PE,70.36,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
474,olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
476,kulhudhuffushi,MV,82.6,overcast clouds,6.6221,73.07,Haajy Guest House 1
477,bonthe,SL,80.87,light rain,7.5264,-12.505,Bonthe Holiday Village
478,oeiras,BR,81.01,clear sky,-7.0253,-42.1311,Hotel SESC Oeiras
479,cleveland,US,83.21,few clouds,41.4995,-81.6954,Renaissance Cleveland Hotel
482,truckee,US,86.63,clear sky,39.328,-120.1833,Truckee Donner Lodge
485,curaca,BR,73.62,broken clouds,-8.9903,-39.9094,Hotel Recanto Campestre
488,lubu,CN,80.87,clear sky,23.1742,112.2809,Classic View Hotel
489,bhinga,IN,83.44,few clouds,27.7167,81.9333,Kakardari office
493,omboue,GA,76.69,overcast clouds,-1.5746,9.2618,Hotel Olako
495,poum,NC,73.18,overcast clouds,-20.2333,164.0167,Gîte kajeon
496,puerto colombia,CO,84.29,few clouds,10.9878,-74.9547,Hotel El Emigrante
498,kalavad,IN,88.57,clear sky,22.2167,70.3833,Hetu Bapu Kadri
500,zhanaozen,KZ,73.18,overcast clouds,43.3,52.8,K.korabay 28A
502,neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
505,arinos,BR,75.34,overcast clouds,-15.9169,-46.1056,casa do bruno
506,uthal,PK,82.92,scattered clouds,25.8072,66.6219,Al Madina Hotal
508,morar,IN,85.69,scattered clouds,26.2261,78.2261,Hotel Adityaz
509,dingle,PH,80.56,light rain,10.9995,122.6711,SEGAYA PROPERTY
510,pouebo,NC,74.98,overcast clouds,-20.4,164.5667,Rural Family Home De Pouébo
517,bossangoa,CF,71.73,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
519,zacualpan,MX,84.7,few clouds,21.25,-105.1667,La Colorada B&B
521,kavaratti,IN,82.6,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
